,Year,City,Stop Name,Stop Abbrev,Total Stops
493,2007,San Francisco,San Francisco International Airport,SO,1441368.0
494,2007,South San Francisco,South San Francisco,SS,747387.0
495,2007,Union City,Union City,UC,1156228.0
496,2007,Walnut Creek,Walnut Creek,WC,1745286.0
497,2007,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
498,2007,Pittsburg,Pittsburg/Bay Point,WP,1476541.0
499,2007,Fremont,Warm Springs,WS,0.0
500,2008,Oakland,12th Street / Oakland City Center,12,3550032.0
501,2008,San Francisco,16th Street Mission,16,3532203.0
502,2008,Oakland,19th Street Oakland,19,2477489.0
503,2008,San Francisco,24th Street Mission,24,3917410.0
504,2008,Antioch,Antioch,AN,0.0
505,2008,Berkeley,Ashby,AS,1373674.0
506,2008,San Jose,Berryessa / North San José,BE,0.0
507,2008,San Leandro,Bayfair,BF,1678954.0
508,2008,Berkeley,Berkeley,BK,3704562.0
509,2008,San Francisco,Balboa Park,BP,4225513.0
510,2008,San Francisco,Civic Center,CC,6042465.0
511,2008,Oakland,Coliseum,CL,2387533.0
512,2008,Colma,Colma,CM,1107709.0
513,2008,Concord,Concord,CN,1587469.0
514,2008,Castro Valley,Castro Valley,CV,749045.0
515,2008,Daly City,Daly City,DC,2478563.0
516,2008,Dublin/Pleasanton,Dublin/Pleasanton,ED,2408690.0
517,2008,San Francisco,Embarcadero,EM,10144343.0
518,2008,El Cerrito,El Cerrito Del Norte,EN,2394170.0
519,2008,El Cerrito,El Cerrito Plaza,EP,1288578.0
520,2008,Fremont,Fremont,FM,2141667.0
521,2008,Oakland,Fruitvale,FV,2294682.0
